"kolId","合作次数","平台","主页链接","达人昵称","首次合作时间","最近合作时间","最近合作状态","最近跟进人","是否复投过","历史合作类型","历史合作SPU","内容一级标签","内容二级标签","内容形式标签","人设/风格标签","受众标签","带货一级类目","带货二级类目","适配品牌","转化形式","合作分层","是否已打标","打标依据链接","备注"
"dodolgarut92","6","Tiktok","https://www.tiktok.com/@dodolgarut92","dodolgarut92","2025-03-06","2025-09-10","MOU submitted","dona","是","Video:6","2132 / 1012 / SP-BB3-013 / 5000","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco / ICYEE","种草强","潜力达人","已初筛","https://www.tiktok.com/@dodolgarut92","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2132 / 1012 / SP-BB3-013 / 5000）完成第一版归档，建议后续抽查近期视频再细化。"
"emakhobijualan","6","Tiktok","https://www.tiktok.com/@emakhobijualan","tita","2025-03-14","2025-11-12","MOU submitted","dona","是","Video:6","2141 / 2132 / 2032 / 2182 / 2034 / 2059 / 2011","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@emakhobijualan","2026-03-18初筛：主页无明确 Bio，但账号名称和历史合作 SPU 都更偏家庭实用品/泛生活带货，先归到 LetMe 线，后续可复核内容细分。"
"inaapril20_","6","Tiktok","https://www.tiktok.com/@inaapril20_","inaapril20_","2025-05-22","2026-02-24","MOU submitted","dewa","是","Video:7","4016 / 4018 / 4019 / 4017 / 4002 / 4005 / 4007 / 4006","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","直发梳","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@inaapril20_","2026-03-18初筛：Bio 写明 Hairstyle/care, beauty，置顶内容直接出现 Stypro catokan sisir 与造型演示，账号与 Stypro 适配度高。"
"ity_tbl","6","Tiktok","https://www.tiktok.com/@ity_tbl","ity_tbl","2025-02-21","2026-02-24","MOU submitted","dewa","是","Video:8","4016 / 4018 / 4019 / 4017 / 4007 / 4006 / 4002","美发造型","教程教学","现场演示","改造变美型","学生党","美发工具","","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@ity_tbl","2026-03-18初筛：置顶内容多次直接出现 catokan 和发饰相关短视频，整体是平价变美和即时造型展示，适合 Stypro。"
"nunananaat","6","Tiktok","https://www.tiktok.com/@nunananaat","Nanatt୨ৎ","2024-09-18","2025-09-02","Pending publish review","lida","是","Video:6","2131 / 1231 / 1102 / 1002 / 1132 / SP-BD3-012 / SP-BA3-007","服饰穿搭","试穿展示","纯展示","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@nunananaat","2026-03-18初筛：主页人设是小个子女生分享和个人小店导向，结合历史合作里饰品相关 SPU 占比高，更适合 Sparco 的甜美穿搭饰品合作。"
"suzy.zhenzhen","6","Tiktok","https://www.tiktok.com/@suzy.zhenzhen","suzy.zhenzhen","2025-08-19","2026-03-09","Pending MOU","sely","是","Live:3 / Video:3","1396 / 1389 / 1234 / SP-BA1-005-01 / 1339 / 1231","饰品分享","穿搭搭配","清单推荐","精致时尚型","女性白领","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@suzy.zhenzhen","2026-03-18初筛：置顶和近期内容高度集中在 zodiak bracelet、gelang serut、kalung 等饰品推荐，账号主线明确为饰品种草，适合 Sparco。"
"vanirazoan","6","Tiktok","https://www.tiktok.com/@vanirazoan","vanirazoan","2025-03-04","2026-01-19","MOU submitted","lida","是","Video:6","SP-BA1-005-01 / 1377 / 2031 / 2135 / SP-BB3-013 / 1339 / 1121 / 1132","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@vanirazoan","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（SP-BA1-005-01 / 1377 / 2031 / 2135 / SP-BB3-013 / 1339 / 1121 / 1132）完成第一版归档，建议后续抽查近期视频再细化。"
"viollytea.","6","Tiktok","https://www.tiktok.com/@viollytea.","viollytea.","2025-06-12","2025-11-14","MOU submitted","dewa","是","Video:6","4017 / 4007 / 4008 / 4002 / 4005 / 4006","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","直发梳","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@viollytea.","2026-03-18初筛：当前主页已失效，但历史合作 SPU 全部集中在 Stypro 线，可先按美发工具达人归档，后续如找到新主页再复核。"
"adi_review","5","Tiktok","https://www.tiktok.com/@adi_review","Adi Review","2025-09-25","2025-12-31","Pending MOU","lida","是","Video:5","2043 / 2254 / 2104 / 2132 / 2243","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","短视频强","潜力达人","已初筛","https://www.tiktok.com/@adi_review","2026-03-18初筛：Bio 直接写 review 和引导购物车下单，内容定位是标准带货测评号，结合历史合作更适合 LetMe 的实用好物线。"
"capslock_ed","5","Tiktok","https://www.tiktok.com/@capslock_ed","capsie | hair care area 👩🏻✨","2025-02-01","2026-02-24","MOU submitted","dewa","是","Video:5","4016 / 4018 / 4017 / 4002 / 2104","美发造型","教程教学","口播讲解","改造变美型","女性白领","美发工具","直发梳","Stypro","教程强","潜力达人","已初筛","https://www.tiktok.com/@capslock_ed","2026-03-18初筛：Bio 直接写 hair care area，且强调 mostly talk bout hair，内容垂类非常清楚，适合 Stypro 的美发工具与护理演示。"
"cikaasiska_","5","Tiktok","https://www.tiktok.com/@cikaasiska_","cikaasiska_","2025-04-18","2025-10-22","MOU submitted","lida","是","Video:5","2253 / 2131 / 2031 / 2032 / 2005 / 2011","泛生活种草","家庭实用","清单推荐","甜美少女型","学生党","家居生活","保温杯/水杯","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@cikaasiska_","2026-03-18初筛：近期内容多为可爱风日用好物推荐，置顶直接出现 gelas stainless、tumbler、mini fan 等种草短视频，适合 LetMe 的轻生活好物线。"
"delina.sakotek","5","Tiktok","https://www.tiktok.com/@delina.sakotek","delina.sakotek","2024-11-23","2026-03-12","Pending MOU","dona","是","Live:3 / Video:2","2116 / 2005 / 2141 / 2243 / 2126 / 2122 / 2001 / 2011 / 2031 / 2059","家居生活","家庭实用","现场演示","家庭实用型","家庭用户","家居生活","厨房收纳","LetMe","演示强","潜力达人","已初筛","https://www.tiktok.com/@delina.sakotek","2026-03-18初筛：Bio 直接写 Review Alat Dapur Aesthetic，置顶和近期内容集中在 food container、清洗工具、tumbler 等厨房家居实用品，适合 LetMe。"
"devvwies","5","Tiktok","https://www.tiktok.com/@devvwies","Devina Otaria♡","2025-09-03","2026-02-13","Pending MOU","lida","是","Video:5","2005 / 2141 / 2182","泛生活种草","家庭实用","口播讲解","精致时尚型","女性白领","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@devvwies","2026-03-18初筛：账号整体是女生生活方式与品牌合作型内容，结合历史合作 SPU 以 LetMe 线为主，先归到泛生活实用好物达人。"
"gracensia.chika","5","Tiktok","https://www.tiktok.com/@gracensia.chika","gracensia.chika","2025-02-22","2026-02-24","MOU submitted","dewa","是","Video:6","4016 / 4019 / 4017 / 4007 / 4002","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@gracensia.chika","2026-03-18初筛：Bio 写明喜欢头发内容，置顶视频包含 hair dryer、hair trimmer、catokan 和 Airwrap 教程，明确是美发工具演示型达人。"
"hendra.anjar","5","Tiktok","https://www.tiktok.com/@hendra.anjar","hendra.anjar","2025-05-30","2025-12-11","Pending MOU","dona","是","Video:5","2104 / 2043 / 2182 / 2174 / 2005","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@hendra.anjar","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2104 / 2043 / 2182 / 2174 / 2005）完成第一版归档，建议后续抽查近期视频再细化。"
"herewitheca","5","Tiktok","https://www.tiktok.com/@herewitheca","here with eca⋆୨୧˚","2025-06-18","2026-02-11","MOU submitted","dewa","是","Video:5","4018 / 4019 / 4017 / 4007 / 4008 / 2132","服饰穿搭","试穿展示","清单推荐","精致时尚型","女性白领","美发工具","直发梳","Stypro","种草强","潜力达人","已初筛","https://www.tiktok.com/@herewitheca","2026-03-18初筛：Bio 直接写 sharing my favorite finds、fashion & beauty，结合历史合作主要集中在 Stypro 线，适合穿搭美女向的美发工具种草。"
"herewitheca.","5","Tiktok","https://www.tiktok.com/@herewitheca.","herewitheca.","2025-07-04","2025-11-17","MOU submitted","dewa","是","Video:5","4017 / 4007 / 4008 / 4002 / 4005 / 4006","服饰穿搭","试穿展示","清单推荐","精致时尚型","女性白领","美发工具","直发梳","Stypro","种草强","潜力达人","已初筛","https://www.tiktok.com/@herewitheca.","2026-03-18初筛：当前这个旧主页地址已失效，结合同系列账号 herewitheca 的公开内容与历史 SPU，仍可归为时尚女生向的 Stypro 种草号。"
"holevest","5","Tiktok","https://www.tiktok.com/@holevest","holevest","2025-04-11","2026-02-11","MOU submitted","dewa","是","Video:5","4016 / 4006 / 4017 / 4007 / 4002","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@holevest","2026-03-18初筛：Bio 明确含 Beauty | Hair | Fashion，近期视频连续在做 portable catokan、catokan uap、hair tools pouch 与 hair routine，属于高适配 Stypro 的美发账号。"
"lils0oftiie","5","Tiktok","https://www.tiktok.com/@lils0oftiie","yulia ౨ৎ","2025-04-15","2026-03-13","Pending MOU","sely","是","Video:5","1231 / 1397 / 1234 / 1058 / 1045 / 1339 / SP-BB3-013","服饰穿搭","试穿展示","纯展示","甜美少女型","学生党","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@lils0oftiie","2026-03-18初筛：Bio 明确是 Fashion enthusiasts，账号人设偏小个子甜妹穿搭，结合历史合作 SPU 主要在 Sparco 饰品线，适合饰品搭配型合作。"
"madebymrse","5","Tiktok","https://www.tiktok.com/@madebymrse","𝑴𝒂𝒓𝒊𝒔𝒂𝒆","2025-01-18","2025-10-27","Pending publish review","sely","是","Video:5","1126 / 2104 / 5004 / 5007 / 1231 / 1132","美妆护肤","教程教学","口播讲解","温柔治愈型","学生党","护肤品","面霜","ICYEE","种草强","潜力达人","已初筛","https://www.tiktok.com/@madebymrse","2026-03-18初筛：Bio 直接写 Skin care, Make up & Other racun，账号主线非常清楚是护肤和彩妆种草，适合 ICYEE 的基础护肤线。"
"monchhild","5","Tiktok","https://www.tiktok.com/@monchhild","nina","2025-05-26","2026-03-03","MOU submitted","dewa","是","Video:5","4016 / 4019 / 1224 / SP-BB3-013 / 1231","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","直发梳","Stypro","教程强","核心达人","已初筛","https://www.tiktok.com/@monchhild","2026-03-18初筛：播放列表直接有 tutor makeup、softlens、fake lashes、nyatok、haircare，其中 nyatok 和 haircare 证据很强，适合 Stypro 的教程演示型合作。"
"novitarzq","5","Tiktok","https://www.tiktok.com/@novitarzq","novita","2025-05-10","2025-11-03","Pending publish review","sely","是","Video:5","1341 / 2253 / 2175 / 2031 / 1339","家居生活","家庭实用","纯展示","温柔治愈型","学生党","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@novitarzq","2026-03-18初筛：Bio 明确是 room | desk | cute stuff | dailylife，主页长期在做桌面和房间小物种草，适合 LetMe 的家居生活线。"
"octaviachandra","5","Tiktok","https://www.tiktok.com/@octaviachandra","OctaviaChandra","2025-07-09","2026-02-11","Pending MOU","dewa","是","Video:5","4016 / 4019 / 4017 / 4002 / 4005 / 4006","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","美发工具","直发梳","Stypro","种草强","潜力达人","已初筛","https://www.tiktok.com/@octaviachandra","2026-03-18初筛：账号主线是 mama-anak lifestyle，但播放列表里长期有 makeup and skincare、body+hair care，且历史合作全部集中在 Stypro 线，适合生活方式场景下的美发工具种草。"
"rinaagustine11","5","Tiktok","https://www.tiktok.com/@rinaagustine11","rinaagustine11","2025-11-18","2026-02-09","Pending publish review","sely","是","Video:5","1231 / 1053 / SP-BA1-005-01 / 1384","饰品分享","礼物场景","清单推荐","温柔治愈型","女性白领","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@rinaagustine11","2026-03-18初筛：置顶内容高度集中在 titanium ring set、订婚戒指和送礼场景，文案也常带 ide kado cewek，适合 Sparco。"
"rizkairn","5","Tiktok","https://www.tiktok.com/@rizkairn","Rizka Irnawati","2024-09-05","2025-08-27","Pending MOU","lida","是","Video:4 / Live:1","2131 / 2031 / 2109 / 2029 / 2032 / 2026 / 2059","家居生活","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","演示强","核心达人","已初筛","https://www.tiktok.com/@rizkairn","2026-03-18初筛：Bio 直接写 Home Living | Furniture | DIY，属于非常明确的家居垂类账号，适合 LetMe 的家庭场景产品。"
"sibalsekiyaaaaaa","5","Tiktok","https://www.tiktok.com/@sibalsekiyaaaaaa","bibble girls","2025-09-26","2026-02-24","MOU submitted","dewa","是","Video:5","4016 / 4006 / 4019 / 4007 / 4017","美发造型","教程教学","现场演示","甜美少女型","学生党","美发工具","自动卷发器","Stypro","种草强","潜力达人","已初筛","https://www.tiktok.com/@sibalsekiyaaaaaa","2026-03-18初筛：主页风格偏女生向下单导购，历史合作 SPU 全部在 Stypro 线，可先归类为美发工具种草号。"
"taurean194","5","Tiktok","https://www.tiktok.com/@taurean194","taurean194","2025-01-18","2026-01-21","MOU submitted","lida","是","Video:5","1384 / 1231 / 2132 / 1132 / 1260","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@taurean194","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1384 / 1231 / 2132 / 1132 / 1260）完成第一版归档，建议后续抽查近期视频再细化。"
"ulwahmardiah14","5","Tiktok","https://www.tiktok.com/@ulwahmardiah14","ulwahmardiah14","2025-10-29","2026-01-07","MOU submitted","dona","是","Video:5","2244 / 2271 / 2178 / 2011 / 2031 / 2254 / 2243 / 2258 / 2253","泛生活种草","家庭实用","清单推荐","温柔治愈型","家庭用户","家居生活","保温杯/水杯","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@ulwahmardiah14","2026-03-18初筛：Bio 写 Everything cute & pink / Mom & baby，置顶内容高度集中在 tumbler 与日常实用好物推荐，适合 LetMe 的家庭与轻家居场景。"
"yuliamandap","5","Tiktok","https://www.tiktok.com/@yuliamandap","yuliamandap","2025-06-12","2026-01-19","MOU submitted","sely","是","Video:5","1384 / SP-BB3-013 / 1234 / 1231","服饰穿搭","穿搭搭配","清单推荐","精致时尚型","女性白领","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@yuliamandap","2026-03-18初筛：Bio 写 Fashion | aksesoris | random stuff，置顶和近期内容包含 custom initial bracelet 与日常搭配饰品，适合 Sparco 的穿搭型种草。"
"abang.adik2","4","Tiktok","https://www.tiktok.com/@abang.adik2","Abang.adik2","2024-12-10","2026-01-23","MOU submitted","lida","是","Live:4","2243 / 2104 / 2043 / 2254 / 2132 / 2122 / 2005 / 2174 / 2032 / 2057","家居生活","家庭实用","现场演示","家庭实用型","家庭用户","家居生活","","LetMe","直播强","潜力达人","已初筛","https://www.tiktok.com/@abang.adik2","2026-03-18初筛：Bio 直接写 Live style Creator，播放列表里有 Handuk Jumbo / Handuk Dewasa / Handuk Travel 和大量直播回放，适合 LetMe 的家庭实用品和直播带货。"
"accboskuu","4","Tiktok","https://www.tiktok.com/@accboskuu","accboskuu","2025-06-02","2025-11-04","Pending publish review","sely","是","Video:4","1341 / 1231 / 1347 / 1339","饰品分享","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@accboskuu","2026-03-18初筛：Bio 直接写喜欢戴饰品，近期视频持续围绕 gelang couple、gelang serut、cincin 等饰品内容，属于典型 Sparco 饰品号。"
"aldilanggra","4","Tiktok","https://www.tiktok.com/@aldilanggra","aldilanggra","2025-08-21","2025-10-29","MOU submitted","lida","是","Video:4","1341 / 1234 / 1356 / 1365","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@aldilanggra","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1341 / 1234 / 1356 / 1365）完成第一版归档，建议后续抽查近期视频再细化。"
"alesha.kyr","4","Tiktok","https://www.tiktok.com/@alesha.kyr","alesha.kyr","2025-06-18","2026-02-11","MOU submitted","dewa","是","Video:4","4016 / 4019 / 4022 / 4006","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@alesha.kyr","2026-03-18初筛：Bio 为 Fashion | Beauty | Selfcare，置顶和近期内容集中在 catokan 3in1、5in1 hair styler 等造型工具试用，适合 Stypro。"
